Wall time,Step,Value,Loss
1673085541,317,1.959262848,0.702102244
1673085542,318,1.960558414,1.325863123
1673085543,319,1.951484203,1.119796991
1673085543,320,1.915310502,1.187816024
1673085544,321,1.994479775,0.87623322
1673085545,322,1.969258308,1.239108682
1673085546,323,2.055808783,0.880102515
1673085546,324,1.858799577,0.947842538
1673085547,325,1.913668871,0.829296172
1673085548,326,2.060655355,0.835373521
1673085548,327,1.916251183,1.071561217
1673085549,328,1.970115781,1.100728273
1673085550,329,2.144037247,0.969454825
1673085551,330,2.04139328,1.166850328
1673085551,331,1.962390423,0.79732722
1673085552,332,1.766718864,0.802270055
1673085553,333,2.054333687,0.826328158
1673085554,334,1.991444826,1.158492208
1673085554,335,1.947628736,0.806221664
1673085555,336,2.021721601,1.024103284
1673085556,337,1.78789866,0.829152405
1673085557,338,1.799505115,0.675055861
1673085557,339,1.764661074,1.048413873
1673085558,340,1.834185362,1.824801445
1673085559,341,1.84826088,0.871254742
1673085559,342,1.884356618,1.115724683
1673085560,343,1.932764888,1.352211118
1673085561,344,1.774733901,0.707029164
1673085562,345,1.801905274,0.939008057
1673085562,346,1.86152184,1.40782845
1673085563,347,1.837025523,0.953443229
1673085564,348,1.764095068,0.990531087
1673085565,349,1.761996269,1.685422182
1673085566,350,1.814488292,1.323757768
1673085566,351,1.772195339,1.02249229
1673085567,352,1.663384914,0.972271264
1673085568,353,1.773899436,1.190213919
1673085569,354,1.766499758,0.809643269
1673085569,355,1.641011238,1.053425431
1673085570,356,1.734626174,0.753576577
1673085571,357,1.720577955,0.828980803
1673085571,358,1.838720083,0.725097716
1673085572,359,1.735503197,1.275882125
1673085573,360,1.701185346,0.998475015
1673085573,361,1.768924952,1.01432693
1673085574,362,1.854068518,0.865354419
1673085575,363,1.713314056,0.616327405
1673085575,364,1.71466434,0.936458409
1673085576,365,1.777197123,0.981333673
1673085577,366,1.792994499,1.012543917
1673085577,367,1.756868005,1.095096588
1673085578,368,1.817077041,1.336712956
1673085579,369,1.823449612,1.275454283
1673085579,370,1.727904439,0.911741912
1673085580,371,1.737249732,0.783908665
1673085581,372,1.796932101,0.998154521
1673085581,373,1.790947437,0.989252388
1673085582,374,1.818085432,0.928338349
1673085583,375,1.668955684,1.415858865
1673085584,376,1.736265302,1.257519603
1673085584,377,1.691959381,0.860589027
1673085585,378,1.682469964,1.109136701
1673085586,379,1.838450432,1.019776583
1673085586,380,1.78790772,0.822404027
1673085587,381,1.715990067,0.804468751
1673085588,382,1.771107674,0.880100906
1673085588,383,1.680584431,0.974954426
1673085589,384,1.7594347,0.776075006
1673085590,385,1.73400867,1.166977644
1673085590,386,1.713492751,1.00533545
1673085591,387,1.671987414,0.867536366
1673085592,388,1.685924888,0.590635777
1673085592,389,1.81108892,0.735154092
1673085593,390,1.735267282,1.51527226
1673085594,391,1.695286989,1.312042356
1673085594,392,1.60266161,1.179845691
1673085595,393,1.685675383,0.619282126
1673085596,394,1.628531575,0.81633395
1673085596,395,1.710791469,1.041055441
1673085597,396,1.643603563,0.776794374
1673085598,397,1.608081937,0.863378882
1673085598,398,1.743575931,0.773867249
1673085599,399,1.74733305,1.060619473
1673085600,400,1.687262893,0.92783016
1673085600,401,1.539626956,0.830176234
1673085601,402,1.647964954,0.575342238
1673085602,403,1.687589169,0.93248713
1673085602,404,1.731994987,1.165748
1673085603,405,1.765280366,0.856438041
1673085604,406,1.684250355,1.098885417
1673085604,407,1.678187728,0.927952349
1673085605,408,1.613467097,0.7626912
1673085606,409,1.568049192,0.840288281
1673085606,410,1.582566619,0.787765801
1673085607,411,1.576940417,1.216999888
1673085608,412,1.588382125,0.757691324
1673085608,413,1.603494525,0.954265177
1673085609,414,1.59342587,1.12206769
1673085610,415,1.6191535,0.776041508
1673085610,416,1.737563252,0.6591748
1673085611,417,1.700905323,1.168995142
1673085612,418,1.66343689,0.703690052
1673085612,419,1.527667642,0.70987612
1673085613,420,1.522495985,0.660242915
1673085614,421,1.623681426,0.566971242
1673085614,422,1.659358144,0.63985008
1673085615,423,1.740162373,0.610398948
1673085616,424,1.652640104,0.868174851
1673085616,425,1.575093985,0.793144405
1673085617,426,1.5787009,0.973755658
1673085618,427,1.631959438,0.934574485
1673085618,428,1.572893739,1.508987546
1673085619,429,1.672992229,0.869169056
1673085620,430,1.571944952,0.715965688
1673085620,431,1.649321198,0.665035069
1673085621,432,1.631958485,0.898681641
1673085622,433,1.55208528,1.000371695
1673085622,434,1.598166704,0.855269134
1673085623,435,1.568549156,1.504726768
1673085624,436,1.602032185,0.706116319
1673085624,437,1.567341089,0.753142357
1673085625,438,1.555545568,0.845468521
1673085626,439,1.634766698,0.712133348
1673085626,440,1.574423909,0.846798122
1673085627,441,1.675704122,0.812582493
1673085628,442,1.54314518,0.880749285
1673085628,443,1.617917538,0.731337368
1673085629,444,1.557809234,0.690049171
