Wall time,Step,Acc,Loss
1673261116,247,0.99804306,0.003721078
1673261131,248,0.99804306,0.003099466
1673261143,249,1,0.001447677
1673261154,250,1,0.001700265
1673261166,251,0.99902153,0.002356111
1673261178,252,0.99804306,0.004957883
1673261189,253,0.99706459,0.00401645
1673261201,254,0.99902153,0.002528841
1673261212,255,0.99902153,0.001574609
1673261224,256,1,0.00073619
1673261235,257,0.99902153,0.003333193
1673261246,258,0.99902153,0.005540837
1673261258,259,0.99902153,0.001631538
1673261269,260,0.99902153,0.001372871
1673261281,261,1,0.001582631
1673261293,262,1,0.001383566
1673261305,263,1,0.000810044
1673261318,264,0.99902153,0.002915367
1673261330,265,0.99902153,0.001980743
1673261342,266,0.99804306,0.004259281
1673261356,267,1,0.000986549
1673261370,268,0.99902153,0.002489615
1673261382,269,0.99902153,0.003885899
1673261395,270,0.99902153,0.003784057
1673261406,271,1,0.00162269
1673261418,272,0.99804306,0.003066267
1673261431,273,0.99902153,0.002159025
1673261444,274,0.99902153,0.004997019
1673261457,275,1,0.000943316
1673261469,276,0.99902153,0.004296285
1673261482,277,0.99706459,0.018299131
1673261493,278,0.99706459,0.007776932
1673261506,279,0.99902153,0.002579222
1673261515,280,1,0.000505197
1673261524,281,1,0.000425162
1673261533,282,0.99902153,0.002034076
1673261542,283,0.99902153,0.002761222
1673261551,284,0.99902153,0.002080868
1673261560,285,0.99706459,0.00546563
1673261571,286,0.99804306,0.005337574
1673261582,287,0.99902153,0.011416579
1673261595,288,1,0.000477327
1673261606,289,1,0.000608213
1673261617,290,0.99706459,0.007190654
1673261628,291,0.99902153,0.002431267
1673261641,292,1,0.001672395
1673261653,293,0.99804306,0.002965105
1673261666,294,0.99804306,0.003135235
1673261677,295,0.99902153,0.005078899
1673261686,296,0.99804306,0.003183
1673261695,297,0.99902153,0.002835482
1673261706,298,0.99804306,0.002425272
1673261719,299,0.99902153,0.001878722
1673261730,300,0.99902153,0.002370653
1673261742,301,0.99902153,0.002731065
1673261754,302,0.99902153,0.002469103
1673261768,303,1,0.0002649
1673261781,304,0.99902153,0.001553529
1673261794,305,1,0.000561639
1673261807,306,0.99902153,0.00127383
1673261820,307,0.99902153,0.001665233
1673261833,308,1,0.000360214
1673261845,309,0.99706459,0.002506164
1673261857,310,0.99902153,0.001918626
1673261871,311,1,0.000430403
1673261884,312,0.99804306,0.003084436
1673261896,313,0.99902153,0.002687602
1673261909,314,1,0.000313355
1673261920,315,0.99902153,0.002073022
1673261933,316,0.99902153,0.004350541
1673261945,317,0.99706459,0.024555396
1673261958,318,0.99902153,0.002263613
1673261969,319,0.99902153,0.003234551
1673261981,320,0.99902153,0.007085138
1673261994,321,0.99902153,0.001485607
1673262007,322,1,0.001096236
1673262021,323,0.99902153,0.002928702
1673262034,324,0.99902153,0.002164012
1673262046,325,0.99902153,0.001520336
1673262058,326,0.99902153,0.00339009
1673262070,327,0.99902153,0.002713963
1673262082,328,0.99902153,0.002590391
1673262095,329,0.99804306,0.016629826
1673262107,330,1,0.00131466
1673262119,331,1,0.000550858
1673262131,332,0.99902153,0.001974244
1673262142,333,1,0.000252436
1673262154,334,0.99804306,0.002297421
1673262166,335,1,0.000851542
1673262178,336,0.99804306,0.007954798
1673262190,337,1,0.000260311
1673262202,338,0.99902153,0.002047938
1673262214,339,1,0.000289027
1673262226,340,1,0.001186999
1673262240,341,1,0.000181455
1673262253,342,1,0.000291654
1673262265,343,1,0.001782548
1673262279,344,0.99902153,0.002867359
1673262292,345,1,0.000401992
1673262304,346,1,0.000167511
1673262316,347,0.99902153,0.001034126
1673262328,348,1,0.000134809
1673262339,349,0.99902153,0.001952496
1673262350,350,0.99902153,0.001072598
1673262362,351,1,0.000151295
1673262376,352,0.99902153,0.001639002
1673262388,353,0.99804306,0.003244679
1673262402,354,0.99902153,0.001989774
1673262415,355,0.99902153,0.002686587
1673262428,356,1,0.000302289
1673262439,357,1,0.00020313
1673262450,358,0.99902153,0.002121534
1673262462,359,1,0.001056522
1673262475,360,0.99902153,0.001307797
1673262487,361,0.99804306,0.004193699
1673262499,362,0.99902153,0.003876239
1673262511,363,0.99804306,0.00235112
1673262523,364,0.99902153,0.002738961
1673262536,365,0.99804306,0.002633391
1673262548,366,0.99804306,0.00229094
1673262561,367,0.99902153,0.000997716
1673262573,368,1,0.000578813
1673262584,369,0.99902153,0.001378032
1673262596,370,0.99902153,0.00139085
1673262609,371,0.99902153,0.001002558
1673262622,372,1,0.00013771
1673262635,373,0.99902153,0.001082593
1673262647,374,0.99804306,0.002767428
1673262658,375,0.99706459,0.004365705
1673262670,376,1,0.00017549
1673262681,377,0.99902153,0.001693717
1673262694,378,1,0.000129116
1673262706,379,0.99902153,0.002087838
1673262717,380,0.99902153,0.001758594
1673262730,381,1,0.000125901
1673262741,382,1,0.000173474
1673262754,383,0.99804306,0.002411963
1673262766,384,0.99902153,0.00356515
1673262779,385,0.99902153,0.001208321
1673262791,386,1,9.27E-05
1673262803,387,1,0.001095799
1673262815,388,0.99902153,0.0012108
1673262828,389,0.99902153,0.00214328
1673262841,390,0.99804306,0.004794313
1673262852,391,0.99902153,0.001923751
